iter	RMSE
206	0.6058409722
207	0.6055745864
208	0.6052217446
209	0.6049833562
210	0.6046480583
211	0.6045373285
212	0.6040950613
213	0.6036972057
214	0.6033452052
215	0.602952176
216	0.6026964489
217	0.6022671383
218	0.6018096604
219	0.6015551611
220	0.6012797906
221	0.600991999
222	0.6005050342
223	0.6001588664
224	0.5998431483
225	0.5995233638
226	0.5991436585
227	0.5988440018
228	0.598443653
229	0.5982582543
230	0.598007621
231	0.5977778558
232	0.5975590449
233	0.5972050709
234	0.5968385769
235	0.5964889619
236	0.5962017028
237	0.5960118954
238	0.5956934898
239	0.5953013822
240	0.5950985003
241	0.5948273629
242	0.5946254962
243	0.5943647746
244	0.5942012116
245	0.5941127599
246	0.5937193346
247	0.5934676877
248	0.5931897508
249	0.5929142602
250	0.5927495756
251	0.5925463739
252	0.5923853863
253	0.5921541603
254	0.5918170921
255	0.5914695811
256	0.5913349191
257	0.5910539509
258	0.590842212
259	0.5905252227
260	0.5904081649
261	0.590127527
262	0.5898750571
263	0.5895620887
264	0.5892605285
265	0.5890898734
266	0.5890038577
267	0.5888166094
268	0.5886232537
269	0.5884281023
270	0.5881118591
271	0.5878334715
272	0.587575923
273	0.5874488106
274	0.5873575809
275	0.5870232951
276	0.5866777257
277	0.5863800494
278	0.5861756178
279	0.585940677
280	0.5856967723
281	0.5855916713
282	0.5853415371
283	0.5850466052
284	0.5846469214
285	0.5842702921
286	0.5840251827
287	0.5839030194
288	0.583607671
289	0.583434617
290	0.5830429098
291	0.5829145532
292	0.5825797983
293	0.582318894
294	0.5820762678
295	0.5819080624
296	0.5817249307
297	0.5814343051
298	0.5811046407
299	0.5808771826
300	0.5807080857
301	0.5805203399
302	0.5802821981
303	0.580082585
304	0.5798890365
305	0.5796899342
306	0.579376351
307	0.5790944219
308	0.5788526739
309	0.5786464001
310	0.578393676
311	0.5781473775
312	0.5780039249
313	0.5777790677
314	0.5775176611
315	0.5773203865
316	0.577210817
317	0.577085645
318	0.5767825736
319	0.576539071
320	0.5763636466
321	0.576138284
322	0.5759479422
323	0.5757775982
324	0.5753722733
325	0.5750614791
326	0.5748257342
327	0.5747018029
328	0.5745354623
329	0.5742873762
330	0.5740446344
331	0.5738164962
332	0.5736018669
333	0.5733205459
334	0.5731588577
335	0.572846579
336	0.5725630571
337	0.5722859905
338	0.5720990903
339	0.5718629341
340	0.5717879659
341	0.5715555441
342	0.5714037033
343	0.571181265
344	0.5708507177
345	0.5707558398
346	0.5704890131
347	0.5702123691
348	0.5700878926
349	0.5700174846
350	0.5697718498
351	0.5696227823
352	0.569402559
353	0.5693182203
354	0.5691510083
355	0.568968982
356	0.5688174155
357	0.5685836203
358	0.5684963889
359	0.56838703
360	0.5681901902
361	0.5679155526
362	0.5675421669
363	0.5672521495
364	0.5669307961
365	0.5666603925
366	0.5664436158
367	0.5660817142
368	0.5659082321
369	0.565822248
370	0.5657535432
371	0.565604341
372	0.5654319605
373	0.565361754
374	0.5653078024
375	0.56521429
376	0.5649380068
377	0.5648325506
378	0.5645098745
379	0.5643057723
380	0.563983471
381	0.5637744551
382	0.5635912544
383	0.5634130305
384	0.5632432515
385	0.5631325429
386	0.5628902
387	0.5626117314
388	0.5625440358
389	0.5623769859
390	0.5622242971
391	0.5619873674
392	0.5617827663
393	0.5617237546
394	0.5613977287
395	0.5611207259
396	0.5609516915
397	0.5607830735
398	0.5606541465
399	0.5605046444
400	0.5603694453
401	0.560101749
402	0.5598749867
403	0.5597382888
404	0.5594919154
405	0.5594235887
406	0.5592444633
407	0.5589760374
408	0.5589238508
409	0.5587060522
410	0.5586403188
411	0.5585487017
412	0.5583748484
413	0.558235846
414	0.5580729016
415	0.5578406335
416	0.5577052846
417	0.5575760008
418	0.5573870449
419	0.5571922646
420	0.5570908555
421	0.5569204268
422	0.556663871
423	0.5564935661
424	0.556415461
425	0.5563864331
426	0.5562173242
427	0.5560705272
428	0.555948727
429	0.5557448979
430	0.5555622443
431	0.5553044114
432	0.5550645408
433	0.5547752185
434	0.5546056457
435	0.5544545089
436	0.5543229832
437	0.5539711714
438	0.5537688032
439	0.5536302938
440	0.553447525
441	0.5532267817
442	0.5530617721
443	0.552870272
444	0.5527577795
445	0.5526283282
446	0.5523607834
447	0.5522832545
448	0.552046978
449	0.5519514517
450	0.5517721689
451	0.5516423507
452	0.551539576
453	0.5514424743
454	0.5511897633
455	0.5511447581
456	0.5510697429
457	0.5509372868
458	0.5507926784
459	0.5506773513
460	0.5505853328
461	0.5502740803
462	0.5499976686
463	0.549926476
464	0.5496971114
465	0.5495386509
466	0.5493090622
467	0.5492462794
468	0.5491519059
469	0.5489570427
470	0.548808645
471	0.5485567349
472	0.5483978286
473	0.5480534686
474	0.5479816608
475	0.5478864723
476	0.5478187201
477	0.5477003628
478	0.5474988099
479	0.5472972488
480	0.5471840089
481	0.5470855835
482	0.546884915
483	0.5466626528
484	0.5465839136
485	0.5463650245
486	0.5461997891
487	0.5460366412
488	0.5458617032
489	0.5456840245
490	0.5455293751
491	0.5453558608
492	0.5451321241
493	0.545041935
494	0.5448790961
495	0.5447227981
496	0.5446218777
497	0.5445397163
498	0.5443815247
499	0.54431286
500	0.5441811981
501	0.5440555132
502	0.5438800169
503	0.5437159797
504	0.5435758758
505	0.5434770447
506	0.543305002
507	0.5432402884
508	0.5431968577
509	0.5431220544
510	0.5429843549
511	0.5428299382
512	0.5425994064
513	0.5425354969
514	0.5423513206
515	0.5422219414
516	0.5421179846
517	0.5420030145
518	0.5419057695
519	0.5418805398
520	0.541804197
521	0.5415332575
522	0.541435994
523	0.5412216222
524	0.5410827194
525	0.5408593726
526	0.5407690067
527	0.5406009888
528	0.5404145523
529	0.5401831666
530	0.5400901619
531	0.539975063
532	0.5399149812
533	0.5397893639
534	0.5395789832
535	0.5395509452
536	0.5393344377
537	0.5392264974
538	0.539136005
539	0.5389336864
540	0.5388088471
541	0.5387127052
542	0.5386564193
543	0.5385107921
544	0.5384219205
545	0.5383567204
546	0.5382619071
547	0.538172403
548	0.5381211738
549	0.5380764179
550	0.5379020177
551	0.537856177
552	0.5376609683
553	0.53761687
554	0.5374730966
555	0.5373873046
556	0.537266272
557	0.5370810321
558	0.5369492103
559	0.536806189
560	0.5365204273
561	0.5364389864
562	0.536197671
563	0.5361161785
564	0.5360167691
565	0.535905261
566	0.5357963438
567	0.5356517685
568	0.5355512529
569	0.5353793397
570	0.5352273146
571	0.5351402928
572	0.5350647964
573	0.5348499817
574	0.5347181318
575	0.5346400416
576	0.5344864962
577	0.5343474402
578	0.5342193534
579	0.534065764
580	0.5339737953
581	0.5339080318
582	0.5336839548
583	0.533489961
584	0.5334435283
585	0.5334066756
586	0.533328547
587	0.5330786915
588	0.5329744702
589	0.5329173649
590	0.5328117993
591	0.5326647795
592	0.5325901132
593	0.5323453153
594	0.5322451432
595	0.5320627422
596	0.5319589689
597	0.5319265748
598	0.5318166108
599	0.5316917994
600	0.5314763771
601	0.531356713
602	0.5312783515
603	0.531170527
604	0.5310740335
605	0.5310077781
606	0.5308189466
607	0.5307106721
608	0.5305539483
609	0.530521503
610	0.5304269051
611	0.5303031443
612	0.5301548436
613	0.53000965
614	0.5298592234
615	0.5297615858
616	0.5296154598
617	0.5294771997
618	0.5293464398
619	0.5292561687
620	0.5291348868
621	0.5290587365
622	0.52901264
623	0.5288586299
624	0.5287076989
625	0.5284377701
626	0.5283455104
627	0.5282666163
628	0.528193437
629	0.5280908347
630	0.528006989
631	0.5279349074
632	0.5278103997
633	0.5277398261
634	0.527647648
635	0.5274132861
636	0.5273650655
637	0.5273557278
638	0.5272313627
639	0.52716771
640	0.5270669781
641	0.5268346632
642	0.5265665491
643	0.5264033835
644	0.5262831115
645	0.5260804866
646	0.5259960238
647	0.5258795563
648	0.525779635
649	0.5257066587
650	0.5256214542
651	0.5255860663
652	0.5254770087
653	0.5253633203
654	0.5250515768
655	0.5249352093
656	0.5247418394
657	0.5246523711
658	0.5244997441
659	0.5244306684
660	0.5244123896
661	0.5241968762
662	0.5241258356
663	0.5240287719
664	0.5238494444
665	0.5237781121
666	0.5234832867
667	0.5233188319
668	0.5231183225
669	0.5229813499
670	0.5227751125
671	0.522450047
672	0.5223080133
673	0.5221938311
674	0.5221429665
675	0.5220198919
676	0.5217817403
677	0.5216124896
678	0.5214749206
679	0.5214300147
680	0.5213374264
681	0.5211456265
682	0.5210773936
683	0.5209389754
684	0.5208386395
685	0.5207482271
686	0.5206841147
687	0.5205043221
688	0.5204150151
689	0.5202345244
690	0.5202035107
691	0.5201821699
692	0.5199243553
693	0.5196577269
694	0.5195389619
695	0.5194693843
696	0.5193776899
697	0.5193034507
698	0.5192112187
699	0.5190745768
700	0.5188689047
701	0.5187034885
702	0.5186057612
703	0.5185745404
704	0.5184605403
705	0.5184039185
706	0.5183220656
707	0.5182602193
708	0.5181094736
709	0.5180347589
710	0.5178840655
711	0.5178315964
712	0.5176811165
713	0.5175365839
714	0.5175080143
715	0.5173822469
716	0.5171384027
717	0.5170558765
718	0.5169338894
719	0.516785161
720	0.516611431
721	0.5165662578
722	0.5165234737
723	0.5164080695
724	0.5163034099
725	0.5162244324
726	0.5161204196
727	0.5160559386
728	0.5159705468
729	0.515697004
730	0.5155402697
731	0.5154553577
732	0.5153782669
733	0.5151797873
734	0.5149319819
735	0.5148462824
736	0.5147979987
737	0.514665352
738	0.5145152715
739	0.5144284729
740	0.5143123768
741	0.5142400289
742	0.5141108394
743	0.5139951004
744	0.5139043927
745	0.5137364911
746	0.5136380938
747	0.5134830906
748	0.5134128249
749	0.5132653316
750	0.5130776884
751	0.5129438192
752	0.5128219523
753	0.5127392766
754	0.5125950743
755	0.5124751367
756	0.5124274061
757	0.512316733
758	0.5121986008
759	0.5120019131
760	0.5118218595
761	0.5117575579
762	0.5116246098
763	0.5115183211
764	0.5113909071
765	0.5112168238
766	0.5110259321
767	0.5109157573
768	0.5108004403
769	0.5107819041
770	0.5107217702
771	0.5106071365
772	0.5104854031
773	0.510353434
774	0.5102994033
775	0.5101013878
776	0.5099729466
777	0.5098031298
778	0.5096641846
779	0.5096006153
780	0.5095406708
781	0.5094192786
782	0.5092820945
783	0.5092031851
784	0.5090906322
785	0.5090517144
786	0.5088779929
787	0.5087951019
788	0.50863984
789	0.5084340312
790	0.5083498581
791	0.508339748
792	0.5082514842
793	0.5082000038
794	0.5080774073
795	0.5079395441
796	0.5078958818
797	0.5078224267
798	0.5076928861
799	0.5076299036
800	0.5075801091
801	0.5075247554
802	0.5074708326
803	0.5074119525
804	0.5073786643
805	0.5072144908
806	0.5071305506
807	0.5070324602
808	0.5069084029
809	0.5068587104
810	0.5066052809
811	0.506477557
812	0.5063319279
813	0.5062371161
814	0.5060046546
815	0.5058532151
816	0.5055757036
817	0.5054928964
818	0.5053889234
819	0.505300173
820	0.5051401108
821	0.5050807296
822	0.505024365
823	0.5049740442
824	0.5048042943
825	0.5047280264
826	0.5044781924
827	0.5043761066
828	0.5043340922
829	0.5041866537
830	0.5040289348
831	0.5039162989
832	0.5038651449
833	0.5038191895
834	0.5037647038
835	0.5036649094
836	0.5036170061
837	0.5035464154
838	0.5034863269
839	0.503397835
840	0.5033837883
841	0.5033194208
842	0.5032307982
843	0.5031786091
844	0.5030062497
845	0.5028329872
846	0.5027176442
847	0.5026203722
848	0.5025894893
849	0.5025510808
850	0.5024778786
851	0.5023780955
852	0.5022567263
853	0.5021562162
854	0.5021365953
855	0.5020892394
856	0.5020321938
857	0.501947927
858	0.5018911395
859	0.5018549173
860	0.5018384109
861	0.5017959981
862	0.50166146
863	0.5015115175
864	0.5013629753
865	0.5012494766
866	0.5011701686
867	0.5011157084
868	0.5009966459
869	0.5009143118
870	0.500798833
871	0.5007384969
872	0.5006901022
873	0.5006458631
874	0.5006030193
875	0.5005543096
876	0.5004435526
877	0.5002238807
878	0.5000958042
879	0.5000499436
880	0.4998958437
881	0.4997294423
882	0.4996870754
883	0.499542595
884	0.4994142833
885	0.4992547338
886	0.4992272477
887	0.4991245109
888	0.499036491
889	0.4989116088
890	0.4988441141
891	0.498659863
892	0.4986131452
893	0.4985649891
894	0.4984596225
895	0.4983255225
896	0.498164543
897	0.4980169765
898	0.4979826698
899	0.4978967902
900	0.4977953499
901	0.4976281678
902	0.497521147
903	0.4974514202
904	0.4973987796
905	0.497343476
906	0.4972982595
907	0.4971698087
908	0.4969389224
909	0.4968671462
910	0.4967669711
911	0.4967234124
912	0.4966456067
913	0.4964986193
914	0.496461416
915	0.4963768485
916	0.4962130876
917	0.4961607541
918	0.4960171539
919	0.495969185
920	0.4959369404
921	0.4958768483
922	0.4958109254
923	0.495686655
924	0.4956072685
925	0.4953954612
926	0.4952968265
927	0.495159575
928	0.4951248434
929	0.4950257522
930	0.494933922
931	0.4948282211
932	0.494751851
933	0.4946504113
934	0.4945690802
935	0.494511677
936	0.4944123708
937	0.4942972922
938	0.494157136
939	0.4941070349
940	0.4940758127
941	0.4938820137
942	0.4937443736
943	0.4936568353
944	0.4934430339
945	0.4933780858
946	0.493366171
947	0.4933384548
948	0.493297512
949	0.4932476018
950	0.4931191503
951	0.4930949367
952	0.4929622863
953	0.4928516021
954	0.4928262717
955	0.4926980548
956	0.4925778973
957	0.4924001612
958	0.4922471136
959	0.4921224758
960	0.492096746
961	0.4919045626
962	0.4917522787
963	0.4915681837
964	0.4914858557
965	0.4913612383
966	0.4912430578
967	0.4911189966
968	0.4910332812
969	0.4909502653
970	0.4908242718
971	0.4907444759
972	0.4906657889
973	0.4905708356
974	0.4904866117
975	0.4903566498
976	0.4902891525
977	0.4902030692
978	0.4901622351
979	0.4899559586
980	0.4898836223
981	0.4898319391
982	0.4897498485
983	0.4896705528
984	0.4894462134
985	0.489371486
986	0.4893092399
987	0.4891933729
988	0.4891461047
989	0.4890270053
990	0.4890120607
991	0.48889533
992	0.4888262851
993	0.488693301
994	0.4886403517
995	0.4885590276
996	0.4885430008
997	0.4884465567
998	0.4883673691
999	0.4883294823
